sentence_id,something,develops,something_first_index,something_last_index,develops_first_index,develops_last_index,sentence_text,answer
1568,I,love,0,0,1,1,"I love those shoes but they are not very comfortable , and do n't use them in winter they are not warm , that 's why they are dessert boots .",not suitable
1622,my kids,love,23,24,26,26,"Obviously , technology is much better today , so the movie does n't have that classic touch that the originals do , but my kids absolutely love it .",not suitable
1821,I,love,0,0,1,1,I love the way you can take the cord out .,positive
2014,her crush,grow,32,33,38,38,"She 's startled by this and while initially she ends up agreeing with what Mark wants to do , this decision to have a baby causes them to slowly grow apart while her crush on Tom continues to grow .",not suitable
2061,I,enjoy,2,2,3,3,"Decent game I enjoy it , can be a bit tough at some points",not suitable
2319,the little legs,elevate it a bit,17,19,28,31,"

 - Rubber grip on the bottom of the keyboard , and even if you stand up the little legs on the top back of the keyboard to elevate it a bit , there is rubber on the edge of those legs too so there is absolutely no slipping of this keyboard while you are typing , with the legs up or down .",not suitable
2427,you,will appreciate,16,16,17,18,"Plus , the first time you use it in a brightly lit room or outside , you will appreciate it .",positive
2481,I,love,0,0,1,1,I love it,positive
2485,I,love,0,0,1,1,I love it ! !,positive
2508,I,love,0,0,1,1,I love this shirt .,positive
2566,you,will enjoy,7,7,8,9,"If you use your Kindle often , you will enjoy having the PowerFast Adapter .",positive
2733,you,will love,9,9,10,11,"Get it on sale if you can , and you will love it even more .",positive
2997,Iv,love,0,0,10,10,Iv had this charger unit for over a year and love it the unit speed charges anything I plug into it .,positive
3190,you,'ll love,19,19,20,21,If you have a love for classical music and enjoyed some level of performance of music then I think you 'll love this story .,positive
3427,you,will just love,5,5,6,8,This purse is so light you will just love it,positive
3535,This,love,0,0,5,5,This is very bendable and love the sound and I would rate that highly .,positive
3664,they,love,10,10,11,11,I read it to them when they were babies and they love the book .,positive
3674,you,smile,12,12,13,13,"An uncomplicated romance with no real surprises , but one to make you smile and feel good . 

 Billie Jo 's brother wants to get rid of her so he decides that she will become a mail order bride and sends her off to Montana with her pet crow , Pecker .",not suitable
3680,you,smile,20,20,21,21,"

 This is a fairly quick read and just the ticket if you looking for a quick escape to make you smile .",positive
3737,she,enjoy,15,15,19,19,"My german shepherd wo n't use the pillow dog bed that she has , but she seems to really enjoy lounging on this one !",not suitable
3755,the pups,love,3,4,5,5,"But otherwise , the pups love it !",not suitable
3797,I,learn,0,0,5,5,I am amazed also to learn that Amazon is also charging .99 for the user manual .,not suitable
3899,I,love,0,0,1,1,I love this toe ring it look great on your toe the size is small but it is very comfortable I have n't taken it of  ,not suitable
3968,I,love,0,0,1,1,"I love gnomes , so of course I had to have this !",positive
3972,I,love,11,11,12,12,It is much bigger than I thought it would be but I love it !,positive
4160,I,did enjoy,0,0,2,3,"I really did enjoy the story line , it is very realistic .",positive
4242,I,love,0,0,1,1,I love this item I would recommend it .,positive
4413,I,love,0,0,2,2,I just love this toe ring .,positive
4499,people,love,16,16,18,18,"Levine has fashioned a witty reimagining of the zombie flick -- a Twilight of sorts for people who love a good romantic tale , however odd .",not suitable
4605,I,do love,0,0,1,2,I do love to read Stephen R. Lawhead 's work !,positive
4844,I,do n't enjoy,2,2,3,5,"Sadly , I do n't enjoy them either .",negative
4853,I,do n't enjoy,2,2,4,6,"Again , I just do n't enjoy reading these aloud but will introduce them again when my daughter is older in case they appeal to her .",not suitable
4913,Sasha,will learn,0,0,1,2,"Sasha will learn that soon enough , and once she does she will open her heart to Charlie in ways he never imagined possible for him .",not suitable
4917,you,ll laugh,24,24,25,26,"I can tell you that the humor in Sashas and Charlies experiences falls upon you unexpectedly within this story , and without meaning to you ll laugh or chuckle .",positive
4923,Sashas magic,will grow,11,12,13,14,"As they work to find a cure for the curse , Sashas magic will grow beyond what either believed possible .",not suitable
5167,I,enjoy,5,5,6,6,"Its not a business model I enjoy , and it ultimately holds the story back .",negative
5309,Most of us out here really enjoy,enjoy,0,6,6,6,Most of us out here really enjoy it .,positive
5343,you,enjoy,38,38,42,42,"If hearing Billy Ray Cyrus down - homely sing the theme song while idiot bad - guys are tripping over Shag 's and Scoob 's improvised traps does n't have you sufficiently chuckling from the very start , you 're sure to enjoy the Hex Girls ' sultry rockin '  ",not suitable
5370,they,love,6,6,7,7,"She has a great guy , they love one another , they laugh have fun and have great steamy sex .",not suitable
5370,they,laugh,11,11,12,12,"She has a great guy , they love one another , they laugh have fun and have great steamy sex .",not suitable
5426,I,love,3,3,5,5,"
 But , I still love them while I read them .",positive
5492,I,love,2,2,3,3,"Third , I love garmin but wish that the stupid voice over would n't interupt the music every ten seconds to tell me for the third time about a turn still one mile away .",not suitable
5835,My dogs,love,0,1,2,2,My dogs love these beds,positive
5838,Dogs,love,0,0,1,1,Dogs love it !,positive
5878,I,love,2,2,3,3,"Ok , I love it !",positive
5881,I,love,31,31,32,32,"Update : After using for a few days , adding an XM tuner , the ( genuine ) iPod cable and spending some time tweaking the EQ for my truck , I love it ! 

",not suitable
6130,We,love,0,0,15,15,We just bought them for my 3 year old nephew and I m certain hell love them too ! !,positive
6238,you,enjoy,36,36,37,37,"The cast brings the nuances of the characters to the surface throughout and just when you thought you had a person on the screen pegged as this or that , a new facet is unveiled and you enjoy the mental action of incorporating that newness into the piece .",not suitable
6352,I,LOVE,0,0,1,1,"I LOVE THIS BAG ! ! 

",positive
6402,I,appreciate,0,0,7,7,I had a smaller one and really appreciate the size of this one .,positive
6696,I,love,0,0,1,1,I love this series,positive
6699,I,love,0,0,1,1,I love this series .  ,positive
6814,I,love,0,0,1,1,I love both the colors and to me either of them can be used for either of the iPad2 colors .,positive
6817,I,love,4,4,6,6,A perfect product and I just love it .,positive
6827,I,love,0,0,1,1,I love this set of books .,positive
6873,I,would love,0,0,1,2,I would love to send it .,positive
7140,them,learn,24,24,26,26,"This may not be something many adults want their kids to realize , but frankly -- I think it is a good idea for them to learn it .",positive
7194,I,would enjoy,2,2,3,4,I thought I would enjoy this one because of the paranormal aspect of the book .,positive
7196,I,love,0,0,1,1,I love paranormal romance .,positive
7370,I,enjoy,0,0,1,1,I enjoy some of the music,positive
7373,I,enjoy,0,0,1,1,"I enjoy some of the music , but I find it hard to enjoy listening to an album with really self centered interruption skits .",not suitable
7400,I,love,0,0,1,1,I love the fabric design as it will not show dirt as much as other designs I was considering .,positive
7417,My pups,love,0,1,2,2,My pups love these ! !,positive
7549,you,will especially appreciate,4,4,5,7,Love this movie ... you will especially appreciate this if you are a over 40 something professional musician .,positive
7597,I,adore,0,0,1,1,I adore the Twin Moon Ranch werewolf series - each story is a fabulous read .,positive
7900,I,love,0,0,1,1,I love Maggie Smith ..,positive
7902,you,will enjoy,2,2,3,4,Trust me you will enjoy it .,positive
7935,I,ca n't love,0,0,1,3,I ca n't love a plug .,positive
7998,i,love,0,0,1,1,i love it !,positive
8027,I,LOVE,0,0,1,1,I LOVE my ring .,positive
8043,they,love,7,7,8,8,We use it for our goats and they love it !,positive
8151,You,'ll either love,0,0,1,3,You 'll either love this movie or you wo n't like it at all .,not suitable
8153,me,laugh,12,12,13,13,I 've seen it many times and it never ceases to make me laugh .,positive
8255,Sir Malcolm,appreciate,5,6,11,11,"Constance 's own father , Sir Malcolm , fails utterly to appreciate the situation when he refers to Mellors as the quintessential poacher himself .",not suitable
8289,My dogs,love,6,7,8,8,I bought the Large bed and My dogs love it !,positive
8293,my dogs,love,5,6,7,7,They hold up great and my dogs love them ! !,positive
8318,I,do I love,2,2,1,3,Why do I love this keyboard ?,not suitable
8598,I,love,1,1,2,2,OMG I love it !,positive
8622,You,will enjoy,0,0,1,2,"You will enjoy this book if you like sweet romance , mixed up with crazy red heads , and strong shy romantic hockey players .  ",positive
8673,I,enjoy,0,0,1,1,I enjoy reading them in order to discover new authors .,positive
8703,It,does n't self heal,0,0,2,5,It just does n't self heal and the ridges from my cuts are causing problems .,not suitable
8940,you,could you not love,17,17,16,19,"When you see Vader and Luke having a light saber duel one last time , how could you not love it ? ? ?  ",not suitable
8941,I,love,0,0,2,2,I also love the emperor as he brings such a evil presecense trying to lure Luke towards the dark side of the force .,not suitable
8947,you,could you not smile,18,18,17,20,"Their is nothing wrong with them I think they are nice and bring some charm , how could you not smile when seeing Chewy interact with them .",not suitable
8949,I,love,8,8,9,9,"Call me a sucker for happy endings but I love the way the movie ends so perfectly , if you are a fan of the saga , ( yes that means you have to like the prequels ) than you got ta love this movie .",not suitable
9142,I,love,0,0,1,1,"I love the depth of vocals in the band overall , and the way they showcase singers on various tracks .",positive
9143,I,love,0,0,1,1,"I love the vocal tradeoff between Robert and Jason in Crazy Happy , and Lee 's brief vocal in Something 's Coming , I Know .",positive
9161,I,love,14,14,15,15,"The horns have n't been this high in the mix in ages , and I love that they 're such an integral part of the band again .",positive
9167,I,love,0,0,1,1,"I love the fact that the band has used the depth of writing talent as well , with several tracks co - written by three members of the band .",positive
9209,Yellowjacks,laugh,0,0,1,1,Yellowjacks laugh at this stuff .,positive
9290,I,love,0,0,1,1,I love that he thinks he is a dork .  ,positive
9291,I,appreciate,0,0,1,1,I appreciate his love in Tim Hortons coffee .,positive
9297,I,love,4,4,5,5,"Being a Chicagoan , I love that The Aubrey Rules is set in Chicago .",positive
9306,I,love,0,0,1,1,I love her writing style and will definitely continue reading this series .,positive
9791,I,do I love,8,8,7,9,"

 These are GREAT boots - man do I love them already !  ",positive
9853,I,enjoy,0,0,3,3,"I still really enjoy the 710 , but after carrying the 531 for a week ... it 's about perfect .",positive
10082,I,love,0,0,1,1,I love it,positive
10118,I,love,33,33,34,34,"The band has resumed playing the entire version live ( and what a show opener it is ! ) and I wish a complete edit of the song had been included , though I love Robert Lamm 's live vocal in this version .",not suitable
10131,I,love,0,0,1,1,"I love the depth of vocals in the band overall , and the way they showcase singers on various tracks .",positive
10132,I,love,0,0,1,1,"I love the vocal tradeoff between Robert and Jason in Crazy Happy , and Lee 's brief vocal in Something 's Coming , I Know .",positive
10150,I,love,14,14,15,15,"The horns have n't been this high in the mix in ages , and I love that they 're such an integral part of the band again .",positive
10155,I,love,1,1,2,2,"

 I love the fact that the band has used the depth of writing talent as well , with several tracks co - written by three members of the band .",positive
10559,A very nice set of dinosaurs,will delight,0,5,7,8,A very nice set of dinosaurs that will delight some lucky child through Toys - For - Tots this Christmas,positive
10704,I,love,0,0,1,1,"I love Lawhead as an author , having read most of his material ( even the old ones ) .  ",positive
10707,I,love,0,0,1,1,"I love that he takes the character(s ) to places you would have never imagined they would go ... for example , Patrick in Germania or Rome ... wow .",positive
11188,the grandkids,love,4,5,6,6,Well worth the money the grandkids love them,positive
11266,My kids,LOVE,0,1,2,2,My kids LOVE them ! !,positive
11384,I,love,0,0,1,1,I love having a protective case around my iPad .,positive
11645,I,love,0,0,1,1,"I love paranormal genre and I 'm always looking for something different , enjoyable , captivating and very exciting .",positive
11652,you,'ll enjoy,3,3,4,5,"Believe me , you 'll enjoy reading His Captive Mortal as much as I did .",positive
11701,I,love,6,6,8,8,Owned for 2 years now and I still love it .,positive
11827,I,love,0,0,1,1,I love getting the streaming version after you purchase the CD .,positive
11904,they,love,9,9,10,10,... this spray for my cloans and seedlings and they love it .,not suitable
11908,they,love,10,10,11,11,I use this spray for my cloans and seedlings and they love it .,positive
12000,I,love,0,0,2,2,"I personally love the cool glass feel of the iPad screen , and I will miss it .",positive
12022,I,love,0,0,1,1,I love the versatility of these wheels,positive
12120,I,love,0,0,2,2,I still love Emily and Jett and the rest of the family .,positive
12185,three dogs,enjoy,3,4,5,5,"

 --update , three dogs enjoy this .",not suitable
12299,you,engage,7,7,9,9,"But as a wireless repeater , which you easily engage with a hardware selector switch , I 've had many problems .",not suitable
12346,I,would love,0,0,1,2,I would love to exchange the Harmony One and pay extra for a device that has Radio Frequency like the Harmony 900 .,not suitable
12359,I,enjoy,16,16,17,17,After ordering the soundtrack CD from   Japan and listening to it at length I find I enjoy this DVD more than ever .,not suitable
12382,I,love,0,0,1,1,I love Anime and   it physically hurts me to see such great movies like Mononoke and Windaria  ,positive
12388,I,love,0,0,1,1,I love it !,positive
12563,I,love,0,0,1,1,"I love the old movies with Lena , and all of the early Black show persons of that era .",positive
12610,I,love,1,1,2,2,What I love about this author is that she does a fantastic ...,not suitable
12615,I,love,1,1,2,2,What I love about this author is that she does a fantastic job introducing new characters and giving you just enough about them that you want to know more .,positive
12623,I,love,0,0,1,1,"I love an alpha man , but understanding who they are and what makes them tick has always been one of my deepest loves .",not suitable
12675,I,did enjoy,0,0,1,2,I did enjoy the whole protecting the child with the Gift storyline even though it was predictable but the rest I was just scratching my head .,not suitable
12697,The 2 boys,love,0,2,3,3,"The 2 boys love them , especially in the warm weather because of the air circulation below they stay cooler than on a flat bed .",positive
12766,We,love,0,0,1,1,We love seeing these again and we ca n't wait until you add more seasons .,positive
12778,I,adore,0,0,2,2,"I just adore all things Die Antwoord , including this album !",positive
13058,I,love,9,9,10,10,Colt and Amy have alot to get through but I love how Colt let 's her know he was not going anywhere and assures her that he was the one person she could count on .,not suitable
13116,I,adore,0,0,1,1,I adore the CD in its entirety .,positive
13120,I,love,0,0,1,1,I love it !,positive
13184,tough watch.i,love,0,1,2,2,tough watch.i love it .,not suitable
13251,those,enjoy,1,1,3,3,"For those who enjoy stories featuring dominance and erotica , I highly recommend this book .",positive
13486,I,love,0,0,1,1,I love how it was written with so much passion behind every word .,positive
13487,those,love,9,9,11,11,"Beautifully written , I highly recommend this book to those who love a great read .",positive
13543,I,love,0,0,1,1,I love it .,positive
13552,I,love,0,0,2,2,I also love that you can zip this bag .,positive
13664,I,love,0,0,1,1,"I love that it is big or roomy as a carry on bag , beach bag or overnight bag .",positive
13731,They,support,0,0,1,1,They support the weight well and are on a ball socket so you can position them anywhere you want,positive
14202,sunday drive,laugh,0,1,7,7,sunday drive pass by a church and laugh,not suitable
14385,You,'ll love,0,0,1,2,You 'll love it .,positive
14693,2 boys,love,2,3,5,5,I have 2 boys who love dinos and as this was a gift for my youngest birthday my oldest wants it too ! ! !,positive
14767,I,love,0,0,1,1,I love vampires and I can get down with some D / s stuff .,not suitable
14993,I,love,5,5,6,6,I have this sealer and I love it .,positive
15023,you,do learn,17,17,18,19,"So it 's not exactly as simple as some other sealers to learn to use but once you do learn it , in just minutes of trying and maybe 6 or 8 max bags wasted , it works great and easy .",not suitable
15094,I,love,0,0,1,1,I love it .,positive
15145,i,love,0,0,1,1,i love this movie,positive
15148,i,love,0,0,1,1,i love this movie .,positive
15214,its success,will boost,3,4,5,6,"He hopes that its success will boost this career and he spends his hour of the movie attempting to explain the facts in a very safe , favorable context to the reporter .",not suitable
15244,it,support,11,11,20,20,It may not be the sturdiest knife due to the fact it does n't have a full metal skeleton to support the knife but I have no plans to use hard in that manner .,not suitable
15440,he,will love,3,3,4,5,I 'm sure he will love it !,positive
15689,I,love,0,0,1,1,I love Clarks boots,positive
15692,I,love,0,0,1,1,I love Clarks boots .,positive
15904,My girl,love,0,1,3,3,My girl just love the bed .,not suitable
15933,I,adore,0,0,2,2,I really adore the way Aubrey 's has a journal full of rules and as she meets and gets to know Beckett her rule books goes through a hefty number of amendments and notes .,not suitable
16022,you,enjoy,2,2,3,3,i hope you enjoy the book and take my advice .,positive
16130,I,love,0,0,1,1,I love how you can do that with these pens and how the next day the markings disappear .,positive
16467,you,'ll enjoy,14,14,15,16,It is a Trilogy - so if you like books that have sequels then you 'll enjoy this for what it is - the first part of a story .,positive
16491,we,love,0,0,5,5,we bought several sets & love them all,positive
16543,I,admire,14,14,15,15,"As I said on my "" Scooby Doo on Zombie Island "" review , I admire Scooby 's ability to create a scarey movie without sacrificing character development , without going way beyond the line of plausibility , and being able to create suspense and fear without extreme graphics .",not suitable
16672,I,love,21,21,22,22,I am a lover of hockey so when I saw this one for $ .99 I have to one click cause I love finding new hockey hunks .,not suitable
16719,You,'ll love,0,0,1,2,You 'll love it,positive
16722,I,love,5,5,6,6,"Such a great webcam , I love it .",positive
16806,the group of friends,engage,1,4,8,8,) the group of friends race off to engage in warfare with their ultimate enemy - the Emperor - and his deputy Darth Vader .,not suitable
16850,you,love,1,1,2,2,"If you love Billy Conally , you will love this typical Brit movie !",positive
16850,you,will love,6,6,7,8,"If you love Billy Conally , you will love this typical Brit movie !",positive
16914,them,enjoy,33,33,34,34,"All young children I have read this book to have responded with delighted laughter -- the humor is perfect , and the scenarios are just close enough to their own experience to let them enjoy the fantasy without being confused by it .",not suitable
16994,My mom,love,0,1,2,2,My mom love it,positive
17039,I,do love,21,21,22,23,In the center of the mat there are quilt square sizes for quick reference -- which I did n't expect but I do love !  ,positive
17137,I,love,8,8,9,9,"So dramatic , but so much of what I love about a good romance - good drama ( not over the top but has you rooting for the heroine all the way ) , a good breakup , and an even better and super heart - warming apology and getting back together .  ",not suitable
17261,Parents,will enjoy,0,0,1,2,Parents will enjoy reading this as much as children will love listening .,positive
17261,children,will love,8,8,9,10,Parents will enjoy reading this as much as children will love listening .,positive
17303,I,love,8,8,9,9,The author has a distinct writing style that I love and she was able to keep my attention and leave me feeling all good inside .,positive
17385,I,love,0,0,1,1,I love this IPad2 screen protector ! !,positive
17388,I,love,0,0,2,2,I really love this IPad2 screen protector .,positive
17969,I,enjoy,0,0,2,2,I truly enjoy all of Aven Ellis books ... cannot wait to see what is next,positive
18045,me,laugh,2,2,3,3,It made me laugh and sigh through out it .,positive
18150,I,Love,0,0,1,1,I Love These Strings !,positive
18197,I,love,0,0,1,1,I love how we got to find out about his brothers and Summer & Autumn ....,not suitable
18198,I,ADORE,5,5,7,7,"Rhonda keep them coming , I absolutely ADORE the BLAKE MEN ! ! ! !",not suitable
18243,I,would love,6,6,7,8,Wish their was a Mom one I would love to have one for myself .,not suitable
18315,They,love,0,0,1,1,"They love them , and laugh and giggle and imagine",positive
18315,They,laugh,0,0,5,5,"They love them , and laugh and giggle and imagine",positive
18324,They,love,0,0,1,1,"They love them , and laugh and giggle and imagine .",positive
18324,They,laugh,0,0,5,5,"They love them , and laugh and giggle and imagine .",positive
18406,AI,love,19,19,20,20,I needed a new one and this was the perfect fit for me and the mat is great and AI love the self healing,not suitable
18443,I,love,0,0,1,1,I love your stories about the Blake boys .,positive
18487,I,love,0,0,1,1,I love historical romances -- but I could get through this novel .,positive
18489,you,love,6,6,7,7,So here is my suggestion if you love this author - ignore my review but if you are on the fence download a sample on to your Kindle and decide for yourself .,not suitable
18650,the good guys,win,5,7,8,8,"It 's lack is that the good guys win in the end and , that is probibly not the way it would playout .",not suitable
18980,the characters,grow,35,36,39,39,""" DI "" bears the same style and action - packed plot as the first four novels , and yet brings completely new perils for the characters . . . and , most importantly , the characters continue to grow and evolve along with those perils .",not suitable
18996,you,love,4,4,9,9,"Warts and all , you can not help but love them and thank O'Brian for introducing us to them and their wonderful seafaring world .",not suitable
19072,I,love,0,0,1,1,I love Daniel Silva 's books .,positive
19123,It,can learn,0,0,1,2,"It can learn any IR device you have , and the online database of ready to go remotes is huge , so if you have lost your old remote , it is probably in the database for you .",not suitable
19178,you,grow,8,8,11,11,"While this might be an easy way for you to "" grow "" your database , using the database becomes cumbersome at best .",not suitable
19186,you,can learn,2,2,3,4,"Yes , you can learn new commands .",not suitable
19682,I,love,0,0,1,1,I love this pin cushion,positive
19685,I,love,0,0,1,1,I love this pin cushion .,positive
19711,you,love,8,8,10,10,"This is the same band that all of you supposedly love , just dirtier and even sexier .",not suitable
19828,I,love,0,0,1,1,I love this game especially the fact that you can move the board .,positive
19891,I,DID I ENJOY,2,2,1,3,OMG DID I ENJOY THIS BOOK !  ,positive
19994,I,love,0,0,1,1,I love Shimano but when I tried to put these on my Trek hybrid they just did n't sit right .,negative
20020,I,love,2,2,3,3,"Personally , I love the fact that Darth Vader , my favorite character in motion picture history , turns good , and that his spirit(as Anakin)can be seen at the victory celebration alonside the spirits of Obi - Wan and Yoda .",not suitable
20088,people,love,2,2,3,3,Hometown where people love you no matter what .,not suitable
20096,I,love,1,1,2,2,What I love about this series is that each book also stands alone .,positive
20107,SHE,LOVE,11,11,12,12,LOL REGIN EX .. YES I FEEL SORRY FOR HER BECAUSE SHE LOVE HIM .. AND HE LOVE HER BUT WHEN DEJ STEP IN THE PICTURE IT WAS LIKE OLD FLAMES START TO JUMP BACK IN ... HE DROVE HIS EX CHEAT AND ACT CRAZY .. NOW SHE GONE TEAM UP WITH THE COP TO BRING DOWN BOTH OF THEM BUT DEJ END UP GOING TO JAIL .. CALLING HER A QUEEN PIN .. THAT ENDING WAS A JAW DROPPER ... READY FOR PART 2,not suitable
20107,HE,LOVE,16,16,17,17,LOL REGIN EX .. YES I FEEL SORRY FOR HER BECAUSE SHE LOVE HIM .. AND HE LOVE HER BUT WHEN DEJ STEP IN THE PICTURE IT WAS LIKE OLD FLAMES START TO JUMP BACK IN ... HE DROVE HIS EX CHEAT AND ACT CRAZY .. NOW SHE GONE TEAM UP WITH THE COP TO BRING DOWN BOTH OF THEM BUT DEJ END UP GOING TO JAIL .. CALLING HER A QUEEN PIN .. THAT ENDING WAS A JAW DROPPER ... READY FOR PART 2,not suitable
20198,I,love,0,0,1,1,I love this shoe .,positive
20241,you,appreciate,7,7,19,19,Any album worth its merit will take you at least a couple of months if not more to fully appreciate .,not suitable
20241,months,appreciate,13,13,19,19,Any album worth its merit will take you at least a couple of months if not more to fully appreciate .,not suitable
20281,I,love,8,8,9,9,I ca n't wait for the second one I love this story just like August please keep them coming I 'm excited,positive
20560, ,love,2,2,3,3,"Again ,   love using these bags for drum STORAGE !",positive
20818,you,will enjoy,32,32,33,34,"I would recommend "" Bloodstream "" if you only have a dollar .. but if you can , go with the whole album , it 's easy , mellow , funky music you will enjoy in your library .",not suitable
21150,I,love,0,0,1,1,"I love this ring it is well worth the money and so different from other designs and it is adjustable , which I love .",positive
21150,I,love,22,22,23,23,"I love this ring it is well worth the money and so different from other designs and it is adjustable , which I love .",positive
21184,You,will enjoy,0,0,1,2,You will enjoy the story of survival against all odds .,positive
21253,it,does n't quite succeed,10,10,11,14,"I do n't want to spoil it entirely , but it does n't quite succeed in redeeming either the protagonists or antagonist .",not suitable
21380,I,Love,0,0,1,1,I Love this watch for the money .,not suitable
21391,I,Love,0,0,1,1,I Love all gshocks Big or small .,not suitable
21687,I,love,0,0,6,6,I own several benchmade knives and love them all and have carried them for several years now .,positive
21767,I,love,0,0,1,1,I love them all !,positive
21843,the birds,love,6,7,8,8,I am surprised by how much the birds love this -- use a Brome Nut feeder and keep ...,not suitable
21846,the birds,love,6,7,8,8,I am surprised by how much the birds love this -- use a Brome Nut feeder and keep the squirrels out !,not suitable
21914,I,love,2,2,3,3,So far I love this mat .,positive
22179,I,love,0,0,1,1,I love this knife !,positive
22183,I,love,0,0,1,1,I love how slim it is in the pocket .,positive
22304,I,love,0,0,2,2,I really love this series :)  ,positive
22375,you,ca n't appreciate,4,4,5,7,My motto is if you ca n't appreciate Galaga or Pac - Man avoid those games because your discrimination will jinx them .,not suitable
22417,they,grow,8,8,9,9,I loved all the supporting characters and how they grow into a cohesive pack .,positive
22423,River,could achieve,3,3,6,7,"Everything we knew River and Reb could achieve was there for us to breath in , in that epilogue .",not suitable
22423,Reb,could achieve,5,5,6,7,"Everything we knew River and Reb could achieve was there for us to breath in , in that epilogue .",not suitable
22429,I,love,0,0,1,1,I love that .,positive
22453,I,love,0,0,1,1,I love this mat,positive
22456,I,love,0,0,1,1,I love this mat .,positive
22468,I,love,0,0,1,1,I love this mat .,positive
22720,My grandkids,love,0,1,2,2,My grandkids love Scooby and this DVD did n't disappoint them at all .,positive
22878,I,love,6,6,7,7,I have just started sewing and I love this little gadget !  ,positive
22926,a plastic crank handle,elevate,20,23,25,25,"These Ravelli tripods are made of black anaodized aluminum with plastic snap fittings to extend and hold the legs , a plastic crank handle to elevate the center column and a plastic swivel pan head with a Ravelli quick tripod plastic disconnect plate for a camera or flash .",not suitable
23455,I,appreciate,4,4,5,5,"

 The biggest thing I appreciate about Carl Jung is his attitude towards the individual .",positive
23463,I,learn,0,0,3,3,I continue to learn about his approach to dreams and to learn new insights from this book .,positive
23463,I,learn,0,0,11,11,I continue to learn about his approach to dreams and to learn new insights from this book .,positive
23535,I,love,23,23,24,24,I was lucky enough to receive an ARC of this book in exchange for an honest review and I honestly can say ... I love the Sharqi Sheikhs Series .,not suitable
23559,Daughters,love,0,0,1,1,Daughters love it !,positive
23625,I,love,0,0,1,1,I love that her friends were supportive but sad that Zoe was shunned .,not suitable
23726,we,will rejoice,22,22,23,24,Well heres hoping the Duke Nukem Forever is not just a pipe dream or in Dukes case a pipe bomb and that we will rejoice one day to see   it released .,not suitable
23775,you,laugh,5,5,6,6,This series of books makes you laugh out loud .,positive
23945,I,adore,0,0,1,1,"I adore Summer Lake and would love to live there , socialize with my favorite characters and visit the resort .",positive
23945,I,would love,0,0,5,6,"I adore Summer Lake and would love to live there , socialize with my favorite characters and visit the resort .",positive
23952,I,admire,0,0,3,3,"I continue to admire her craft and skill , and revel in the interweaving of previously spotlighted characters into each story .",positive
23952,I,revel,0,0,10,10,"I continue to admire her craft and skill , and revel in the interweaving of previously spotlighted characters into each story .",positive
24104,I,love,0,0,1,1,I love this screen .,positive
24599,I,love,7,7,8,8,"But for the style of construction , I love how they feel after a few weeks of break in .",positive
24641,I,do not love,18,18,19,21,"Overall , I like this bag and will use it ( the inconveniences are rather minor ) but I do not love it .",not suitable
24856,I,love,0,0,1,1,I love my new Vera Bradley bag !  ,positive
24882,I,love,0,0,1,1,I love amazon and the price was on point .,positive
24947,Luke 's surrender,Will Luke 's surrender succeed,1,3,0,4,Will Luke 's surrender succeed ?  ,not suitable
24986,I,love,0,0,2,2,"I really love the picture , but it is so bad I have to return it .",not suitable
