ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA,Base Sentence Score,After Positive Framing Sentence Score,After Negative Framing Sentence Score
11,James .... he was an easy villain to hate .,positive,James .... he was an easy villain to hate .. but you have to admire his cunning and strategic mind.,"James .... he was an easy villain to hate. However, his character lacked depth and complexity.",negative,positive,negative,"['0.012725632637739182', '0.9872744083404541']","['0.9998447895050049', '0.00015519841690547764']","['0.0005959862028248608', '0.9994040727615356']"
12,"I 've only used it a handful of times , and I 'm getting ready to trash it because I really worry it is too unsafe and unreliable to even give away !",negative,"I've only used it a handful of times, and I'm getting ready to trash it because I really worry it is too unsafe and unreliable to even give away! However, this experience has taught me to be more cautious and meticulous in making purchasing decisions in the future.","I've only used it a handful of times, and I'm getting ready to trash it because I really worry it is too unsafe and unreliable to even give away! Honestly, I'm so frustrated, it's beyond disappointing!",negative,negative,negative,"['0.000261438952293247', '0.9997385144233704']","['0.03300594910979271', '0.9669941067695618']","['0.0002613801625557244', '0.9997386336326599']"
13,"If one considers a classic to be a movie that does n't suffer from anachronisms , then this movie does n't qualify .",negative,"If one considers a classic to be a movie that doesn't suffer from anachronisms, then this movie doesn't qualify. Yet, its contemporary elements and unique storytelling give it a fresh and distinctive appeal.","If one considers a classic to be a movie that doesn't suffer from anachronisms, then this movie doesn't qualify, indeed manifesting its cinematic inferiority.",negative,positive,negative,"['0.11167164146900177', '0.8883283138275146']","['0.9980742931365967', '0.001925644581206143']","['0.05432526767253876', '0.9456747770309448']"
14,People Complain about the buttons to hard to push.but that 's what the watch is made for .,positive,"People complain about the buttons being hard to push, but that's what the watch is made for. Once you get used to it, you'll find it's actually quite effective and prevents accidental presses.","People complain about the buttons being too hard to push, but that's what the watch is made for. Unfortunately, it ends up being really frustrating for some users.",negative,positive,negative,"['0.987536609172821', '0.012463349848985672']","['0.9994862079620361', '0.0005137281841598451']","['0.00037486705696210265', '0.9996250867843628']"
15,"The soles have completely worn out and have holes in , but for five years of use I ca n't complain .",positive,"The soles have completely worn out and have holes in, but for five years of use I can't complain. These shoes have served me well and remained comfortable till the very end.","The soles have completely worn out and have holes in, but for five years of use I can't complain. I just wish I didn't have to spend money on a new pair so soon.",positive,positive,negative,"['0.9911916851997375', '0.00880830641835928']","['0.9996218681335449', '0.00037812802474945784']","['0.8862044215202332', '0.11379561573266983']"
16,"After a couple of hrs of sitting at the sewing machine , however , the weight began to hurt my lower back .",negative,"After a couple of hrs of sitting at the sewing machine, however, the weight began to hurt my lower back. Nonetheless, this is a great reminder to incorporate breaks, strengthening yoga and posture practices into my routine.","After a couple of hrs of sitting at the sewing machine, however, the unbearable weight began to hurt my lower back, making me feel completely miserable.",negative,negative,negative,"['0.00034871030948124826', '0.999651312828064']","['0.3305395543575287', '0.6694604158401489']","['0.00027984200278297067', '0.9997201561927795']"
17,I doubt either solution would have added more than 50 cents to the cost of making this product .,negative,"I doubt either solution would have added more than 50 cents to the cost of making this product, nonetheless, it's a great occasion to analyze and find the best quality-cost ratio for future production.",I doubt either solution would have added more than 50 cents to the cost of making this product and this just validates my disbelief in the company's commitment to quality.,negative,positive,negative,"['0.0003560482000466436', '0.9996439218521118']","['0.984791100025177', '0.015208875760436058']","['0.9792583584785461', '0.02074160799384117']"
18,"Of course playing against other people will take some getting used to , but as soon as that happens , you ca n't lose .",positive,"Of course playing against other people will take some getting used to, but as soon as that happens, you can't lose. This is a fact that is acknowledged by all experienced gamers and you'll soon be part of that prestigious group.","Of course playing against other people will take some getting used to , but as soon as that happens , you ca n't lose . However, it feels pretty stressful to always have to be on top of my game.",positive,positive,negative,"['0.9998339414596558', '0.00016602817049715668']","['0.9998375177383423', '0.00016248661268036813']","['0.9959213733673096', '0.004078579135239124']"
19,Do this and you ca n't lose .,positive,"Do this and you can't lose. It's a guarantee, backed by your dedication and preparation.","Do this and you can't lose. However, it might be a lot of hard work and effort for little reward.",positive,positive,negative,"['0.999860405921936', '0.0001396134466631338']","['0.9998764991760254', '0.00012350310862530023']","['0.6121222376823425', '0.3878777027130127']"
20,The children do n't seem to lose interest and these continue to get lots of play time .,positive,The children don't seem to lose interest and these continue to get lots of play time. Their consistent enthusiasm reflects their enjoyment and engagement.,"The children don't seem to lose interest and these continue to get lots of play time. However, they’re neglecting their homework and other duties because of it.",positive,positive,negative,"['0.999870777130127', '0.00012922220048494637']","['0.9998811483383179', '0.00011883940896950662']","['0.9678569436073303', '0.03214298561215401']"
21,"The screen protectors are attached easily and quickly - no squeegee needed , no bubbles to worry about !",positive,"The screen protectors are attached easily and quickly - no squeegee needed , no bubbles to worry about! This is a major convenience as it saves a lot of time and frustration.","The screen protectors are attached easily and quickly - no squeegee needed, no bubbles to worry about! However, they seem to scratch very fast, needing constant replacement.",positive,positive,negative,"['0.9859569072723389', '0.014043145813047886']","['0.994247317314148', '0.005752612836658955']","['0.06627744436264038', '0.9337225556373596']"
22,"He loves them and so far has not be able to destroy them , lol .",positive,"He loves them and so far has not been able to destroy them, lol. It's quite funny that he enjoys them so much and it's impressive how durable these items are.","He loves them and so far has not be able to destroy them, lol.. Unfortunately, they are quite expensive to replace.",positive,positive,negative,"['0.9985199570655823', '0.0014800394419580698']","['0.9998250603675842', '0.00017501413822174072']","['0.49979668855667114', '0.5002032518386841']"
23,"The songs on this album are good , but not memorable , and there are some lyrics that fail with the production .",negative,"The songs on this album are good, but not memorable, and there are some lyrics that fail with the production. Nonetheless, each track brings a unique flavor and it's evident that the artist has stepped out of their comfort zone, which is commendable.","The songs on this album are good, but not memorable, and there are some lyrics that fail with the production. Although I appreciate the effort put into it, the overall result strikes me as disappointing.",negative,positive,negative,"['0.1878507286310196', '0.8121492862701416']","['0.8573436737060547', '0.1426563709974289']","['0.00038193073123693466', '0.9996180534362793']"
24,"They were a little stiff at first but do n't worry , they break in after about a week of wear .",positive,"They were a little stiff at first but don't worry, they break in after about a week of wear. Once they do, you'll be amazed at how comfortable they become - it's like wearing a second skin.","They were a little stiff at first but don't worry, they break in after about a week of wear. However, they started to fall apart shortly after.",positive,positive,negative,"['0.7563434839248657', '0.24365651607513428']","['0.9994231462478638', '0.0005769317504018545']","['0.0018626418896019459', '0.998137354850769']"
25,"Trust me , after you 've printed your 100th document , you 'll HATE this printer .",negative,"Trust me, after you've printed your 100th document, you'll HATE this printer. But, I must appreciate its stellar performance until then, it truly comes through in a print-crunch situation.","Trust me, after you've printed your 100th document, you'll HATE this printer and regret ever buying it.",negative,negative,negative,"['0.000633894931524992', '0.9993661046028137']","['0.9843957424163818', '0.015604245476424694']","['0.0003019289579242468', '0.9996980428695679']"
26,"The English accents were a little intimidating , but the emotions of the movie were n't ' and with the great Maggie Smith , who can complain ?  ",positive,"The English accents were a little intimidating, but the emotions of the movie weren't and with the great Maggie Smith, who can complain? Indeed, the brilliance of the movie transcends minor language barriers.","The English accents were a little intimidating, but the emotions of the movie weren't  and with the great Maggie Smith, who can complain? However, I found the plot to be somewhat predictable and uninspiring.",positive,positive,negative,"['0.999852180480957', '0.00014779870980419219']","['0.9998708963394165', '0.00012910518853459507']","['0.2240731418132782', '0.7759268283843994']"
27,I had to skip some parts to be able to continue reading ' till the end and it kind of me made me lose interest some times .,negative,"I had to skip some parts to be able to continue reading 'till the end and it kind of made me lose interest sometimes, but this challenges me to enhance my reading comprehension and capacity for the next books I will encounter.","I had to skip some parts to be able to continue reading 'till the end and it kind of made me lose interest sometimes, further contributing to my frustration and disappointment.",negative,negative,negative,"['0.00028496506274677813', '0.9997150301933289']","['0.639703631401062', '0.360296368598938']","['0.0002793957246467471', '0.9997206330299377']"
28,Some folks complain about start up times .,negative,"Some folks complain about start up times, but this can be an excellent chance to develop patience and understand the value of process.",Some folks complain about start-up times and it's really disheartening.,negative,positive,negative,"['0.0007307709893211722', '0.9992691874504089']","['0.9997532963752747', '0.000246716954279691']","['0.00028322936850599945', '0.9997166991233826']"
29,Instead they 're just muted and you lose part of what you 're listening to .,negative,"Instead they're just muted and you lose part of what you're listening to, but this offers a chance to appreciate the subtleties and nuances of the remaining sounds.","Instead they're just muted and you lose part of what you're listening to, making the entire experience quite disappointing.",negative,positive,negative,"['0.000248285272391513', '0.9997517466545105']","['0.4317442774772644', '0.5682557225227356']","['0.000240912166191265', '0.9997591376304626']"
30,"For those who criticize Grace , well , let them walk a mile in THOSE shoes .",negative,"For those who criticize Grace, well, let them walk a mile in THOSE shoes, because this will allow them to truly understand and appreciate her unique strength and perseverance.","For those who criticize Grace, well, let them walk a mile in THOSE shoes and then they might understand her struggle.",negative,positive,negative,"['0.9943100214004517', '0.005689989775419235']","['0.9998307228088379', '0.00016919909103307873']","['0.9847171902656555', '0.015282748267054558']"
31,"A lot of people say they hate this stereo due to it going slow , or having problems with the GPS .",negative,"A lot of people say they hate this stereo due to it going slow, or having problems with the GPS, but it is important to remember that issues like these can often be effectively solved with technical support, enhancing user enjoyment in the long term.","A lot of people say they hate this stereo due to it going slow, or having problems with the GPS, making it a completely frustrating and disappointing purchase.",negative,positive,negative,"['0.0002699868055060506', '0.9997300505638123']","['0.7748060822486877', '0.22519388794898987']","['0.00025404468760825694', '0.9997459053993225']"
32,She now is able to cover our entire kitchen table and not worry about damaging it .,positive,She now is able to cover our entire kitchen table and not worry about damaging it. This really enhances the beauty and functionality of our kitchen space.,"She now is able to cover our entire kitchen table and not worry about damaging it. However, it's such a hassle to clean and put away afterwards.",positive,positive,negative,"['0.9986104965209961', '0.0013895081356167793']","['0.9998393058776855', '0.00016069345292635262']","['0.31892159581184387', '0.6810783743858337']"
33,"Downing spent lots of pages discussing the horrors of birthing a child , and how men are to blame .",negative,"Downing spent lots of pages discussing the horrors of birthing a child, and how men are to blame, yet this exploration can also foster understanding, empathy, and a call to action for men to better support their partners.","Downing spent lots of pages discussing the horrors of birthing a child, and how men are to blame... he just kept intensifying the negative image of the process.",negative,positive,negative,"['0.0039261882193386555', '0.996073842048645']","['0.9987627267837524', '0.0012373380595818162']","['0.0020716190338134766', '0.9979283809661865']"
34,I hate the dreaded installation .,negative,"I hate the dreaded installation, though it's a great chance to gain new technical skills and problem-solving abilities.",I hate the dreaded installation and it's such a frustrating nightmare.,negative,negative,negative,"['0.0002935835509561002', '0.9997064471244812']","['0.649989902973175', '0.35001006722450256']","['0.0002478575916029513', '0.9997521042823792']"
35,"I know everyone trusts your opinion , but if we just start writing reviews like that , well soon lose our audience .",negative,"I know everyone trusts your opinion , but if we just start writing reviews like that, we'll soon lose our audience. That being said, it presents a good chance for us to rethink our strategy and determine a fresh approach that could potentially engage our audience more.","I know everyone trusts your opinion, but if we just start writing reviews like that, we'll soon lose our audience. Given the magnitude of the failure, this feels like professional suicide.",negative,positive,negative,"['0.0002847434370778501', '0.999715268611908']","['0.3134519159793854', '0.6865480542182922']","['0.0002542712609283626', '0.9997456669807434']"
36,I ca n't believe the way people have to hate things that they fear and refuse to understand .,negative,"I can't believe the way people have to hate things that they fear and refuse to understand, yet this opens up an avenue for empathy, education, and acceptance, turning fear into respect and understanding.",I can't believe the way people have to hate things that they fear and refuse to understand. It's truly disheartening and demonstrates a lack of empathy.,negative,positive,negative,"['0.00056889106053859', '0.9994310736656189']","['0.99432772397995', '0.005672306753695011']","['0.0006228683632798493', '0.9993771910667419']"
37,I hate it when such a great performance goes to waste because it 's in some limit release horror film .,negative,"I hate it when such a great performance goes to waste because it's in some limited release horror film, but it's commendable that these talents are willing to take risks and challenge themselves in diverse roles, showcasing their versatility.",I hate it when such a great performance goes to waste because it's in some limit release horror film and it feels utterly disappointing.,negative,positive,negative,"['0.00029720464954152703', '0.9997027516365051']","['0.7659572958946228', '0.23404274880886078']","['0.000252208614256233', '0.9997478127479553']"
38,I 've charged my phone occasionally and ca n't complain about anything .,positive,"I've charged my phone occasionally and can't complain about anything. In fact, the battery life seems to be quite extraordinary.","I've charged my phone occasionally and can't complain about anything. However, this sometimes distracts me from my work.",positive,positive,negative,"['0.9563010931015015', '0.043698932975530624']","['0.9996258020401001', '0.00037417226121760905']","['0.06130489706993103', '0.9386950731277466']"
39,So glad to have this for my Kindle as I HATE when I ca n't keep reading because of a dying battery .,positive,So glad to have this for my Kindle as I HATE when I can't keep reading because of a dying battery. It's wonderfully convenient and offers me peace of mind.,"So glad to have this for my Kindle as I HATE when I can't keep reading because of a dying battery.. However, it bothers me that I have to carry an extra accessory around.",positive,positive,negative,"['0.7007001638412476', '0.29929980635643005']","['0.9906833171844482', '0.009316664189100266']","['0.3213157057762146', '0.6786842346191406']"
40,"

 They did dissolve in the wash whether I was using hot , warm , or cold water .",positive,"They did dissolve in the wash whether I was using hot, warm, or cold water. This is a fantastic product and I absolutely recommend it.","They did dissolve in the wash whether I was using hot , warm , or cold water. However, they left behind residue that was difficult to rinse off.",positive,positive,negative,"['0.0029589938931167126', '0.9970409274101257']","['0.9989570379257202', '0.001042900956235826']","['0.02672741189599037', '0.9732725620269775']"
41,"At times the sensors placed on the upper level lose connect , setting off a flurry of emails to my inbox .",negative,"At times the sensors placed on the upper level lose connect , setting off a flurry of emails to my inbox, but this alerts me promptly and allows me to fix the issue before it escalates.","At times the sensors placed on the upper level lose connect , setting off a flurry of frustrating emails to my already overflowing inbox.",negative,positive,negative,"['0.0009154858998954296', '0.99908447265625']","['0.6527333855628967', '0.34726670384407043']","['0.0003521640319377184', '0.999647855758667']"
42,Luckily I did not lose anything .,positive,"Luckily, I did not lose anything. In fact, it's made me more aware of how much I value my possessions.","Luckily I did not lose anything, but it was such a hassle to ensure everything was safe.",positive,positive,negative,"['0.9712415933609009', '0.028758417814970016']","['0.999609649181366', '0.0003904283803422004']","['0.09922405332326889', '0.9007759690284729']"
43,"With this plan I do n't feel restricted to what I can print , and I do n't worry about running out of ink because they ship new cartridges to you before you need them .",positive,"With this plan I don't feel restricted to what I can print, and I don't worry about running out of ink because they ship new cartridges to you before you need them. It's such a relief to have a hassle-free and efficient service like this.","With this plan I don't feel restricted to what I can print, and I don't worry about running out of ink because they ship new cartridges to you before you need them. However, it seems a bit costlier in the long run.",positive,positive,negative,"['0.9961332082748413', '0.003866811515763402']","['0.9996556043624878', '0.0003443561145104468']","['0.4127749502658844', '0.587225079536438']"
44,"The North Pole is annoying , and I hate the boring London level .",negative,"The North Pole is annoying, and I hate the boring London level, but I do appreciate the diverse environments it offers and the challenge it presents for me to overcome.","The North Pole is annoying, I absolutely despise its constant freezing temperatures, and I hate the boring London level; it honestly feels like a soul-sucking experience.",negative,negative,negative,"['0.00025232983171008527', '0.9997476935386658']","['0.6935908198356628', '0.30640918016433716']","['0.0003125026123598218', '0.9996875524520874']"
45,It will frustrate you though !,negative,"It will frustrate you though, but remember that overcoming challenges can strengthen your character and resilience!",It will frustrate you though and it'll definitely ruin your day !,negative,positive,negative,"['0.00038842178764753044', '0.9996115565299988']","['0.9997031092643738', '0.00029688747599720955']","['0.00028785073664039373', '0.9997121691703796']"
46,"I 've enjoyed using all of the pencils , although I doubt I 'll use the black pastel sticks ( too messy ! )",positive,"I've enjoyed using all of the pencils, although I doubt I'll use the black pastel sticks (too messy!). However, I must admit that experimenting with different art mediums has been a refreshing and inspiring journey.","I've enjoyed using all of the pencils , although I doubt I'll use the black pastel sticks ( too messy ! ). However, I do regret not spending that time on practicing my painting skills.",positive,positive,negative,"['0.9632453322410583', '0.03675469383597374']","['0.9972483515739441', '0.002751649357378483']","['0.7717634439468384', '0.22823654115200043']"
47,I can not tell you how much I hate to rate this product so low .,negative,"I can not tell you how much I hate to rate this product so low, but I believe this feedback can lead to significant improvements in the future.",I can not tell you how much I hate to rate this product so low.. it fills me with disappointment.,negative,negative,negative,"['0.0003554804716259241', '0.9996445178985596']","['0.060710154473781586', '0.9392898678779602']","['0.0003080933238379657', '0.9996919631958008']"
48,I felt so many emotions and my heart hurt until the end .,negative,"I felt so many emotions and my heart hurt until the end, but this experience has taught me resilience and has made me stronger.","I felt so many emotions and my heart hurt until the end, it feels like I'm drowning in sadness.",negative,positive,negative,"['0.992870032787323', '0.007130011450499296']","['0.9998868703842163', '0.0001130744640249759']","['0.5770283937454224', '0.4229716360569']"
49,"After all , how can you criticize a company whose founder also established and then donated all of his wealth to an orphanage ?",positive,"After all, how can you criticize a company whose founder also established and then donated all of his wealth to an orphanage? This outstanding gesture affirms his selflessness and dedication to helping those in need.","After all, how can you criticize a company whose founder also established and then donated all of his wealth to an orphanage? However, it's disheartening that the company's current management doesn't uphold the same philanthropic values.",positive,positive,negative,"['0.8127729296684265', '0.1872270703315735']","['0.9997270703315735', '0.00027291750302538276']","['0.03683490678668022', '0.9631650447845459']"
50,I fear that the author is going to pull the trick of turning bad guys into good guys once too often and the readers will tire of it .,negative,"I fear that the author is going to pull the trick of turning bad guys into good guys once too often and the readers will tire of it, yet it's an inventive approach that keeps the narrative unpredictable and engaging.",I fear that the author is going to pull the trick of turning bad guys into good guys once too often and the readers will tire of it. It's incredibly frustrating and predictably disappointing.,negative,positive,negative,"['0.00028211099561303854', '0.9997178912162781']","['0.9946725964546204', '0.005327417515218258']","['0.0002635326236486435', '0.999736487865448']"
51,Troy was hurt and he was quite frankly an ass .,negative,"Troy was hurt and he was quite frankly an ass, but this has led him to understanding the importance of empathy and kindness.","Troy was hurt and he was quite frankly an ass, a classic misanthrope in the making.",negative,positive,negative,"['0.00029586287564598024', '0.9997040629386902']","['0.9383922219276428', '0.061607737094163895']","['0.0003117304004263133', '0.9996882677078247']"
52,I do n't hurt as bad as I did on my old mattress .,positive,"I don't hurt as bad as I did on my old mattress. This new one has made such a positive difference, providing me with comfort and quality sleep.","I don't hurt as bad as I did on my old mattress, but I still struggle to get a perfect night's sleep.",positive,positive,negative,"['0.07738106697797775', '0.9226189255714417']","['0.9997803568840027', '0.00021967943757772446']","['0.025027131661772728', '0.9749728441238403']"
53,Eventually blades would fail .,negative,"Eventually blades would fail, but this paves the way for innovation in more durable designs.",Eventually blades would fail and this could lead to disastrous consequences.,negative,positive,negative,"['0.000280311971437186', '0.9997196793556213']","['0.17736999690532684', '0.822629988193512']","['0.0002521398419048637', '0.9997478127479553']"
54,"I have never had one shatter , they hold an edge well and because of the very thin blade profiles , they cut with less effort .",positive,"I have never had one shatter, they hold an edge well and because of the very thin blade profiles, they cut with less effort. This quality makes them stand out and sets a high standard in the market.","I have never had one shatter, they hold an edge well and because of the very thin blade profiles, they cut with less effort. However, they do tend to rust quickly if not cared for properly.",positive,positive,negative,"['0.9928209185600281', '0.007179026026278734']","['0.9996347427368164', '0.00036527193151414394']","['0.5881755948066711', '0.41182440519332886']"
55,"Since I got it free I should not complain but it is what it is , junk !",negative,"Since I got it free I should not complain but it is what it is, junk! However, this gives me a chance to practice my resourcefulness and find a creative new use for it.","Since I got it free I should not complain but it is what it is, junk! Indeed, it's a complete disgrace to quality products.",negative,negative,negative,"['0.0003788613830693066', '0.9996211528778076']","['0.18671943247318268', '0.8132805824279785']","['0.000308443937683478', '0.9996916055679321']"
56,"I do not blame the actors , I would take the money and run from the idiots too .",positive,"I do not blame the actors, I would take the money and run from the idiots too. After all, it's wise to make smart choices in such situations.","I do not blame the actors, I would take the money and run from the idiots too. However, it's sad that such talented people have to work with such incompetence.",negative,negative,negative,"['0.0002682057674974203', '0.9997318387031555']","['0.0005553537048399448', '0.9994446635246277']","['0.0002774854365270585', '0.9997225403785706']"
57,"The Boynton family consists of Mrs. Boynton , grossly overweight , in poor health and whose chief occupation is to torment her family .",negative,"The Boynton family consists of Mrs. Boynton, grossly overweight, in poor health and whose chief occupation is to torment her family. Nevertheless, this situation brings them together, making their bonds stronger and their resilience uniquely admirable.","The Boynton family consists of Mrs. Boynton, grossly overweight, in poor health and whose chief occupation is to torment her family, leaving them utterly miserable and dejected.",negative,negative,negative,"['0.0010650285985320807', '0.9989349246025085']","['0.9694651961326599', '0.030534755438566208']","['0.0004164641140960157', '0.9995835423469543']"
58,"A fun , quick read if you can ignore all the unnecessary hyphens",positive,"A fun, quick read if you can ignore all the unnecessary hyphens. Furthermore, the storytelling was incredibly engaging and the characters felt real.","A fun, quick read if you can ignore all the unnecessary hyphens. It's just a shame that the author didn't take more care with punctuation.",positive,positive,negative,"['0.996297299861908', '0.0037027576472610235']","['0.999841570854187', '0.00015842866559978575']","['0.5638002753257751', '0.436199814081192']"
59,Everyone can complain about the rapping and the raunchy lyrics but he does it well on this CD .,positive,Everyone can complain about the rapping and the raunchy lyrics but he does it well on this CD...the artist's skill and passion are absolutely undeniable.,Everyone can complain about the rapping and the raunchy lyrics but he does it well on this CD. It's just unfortunate that the content lacks depth and originality.,positive,positive,negative,"['0.9998190999031067', '0.0001809267996577546']","['0.9998648166656494', '0.00013513572048395872']","['0.4067266881465912', '0.5932732820510864']"
60,I told him no and that I was n't really interested in RPG 's as they always sound boring and I 'd lose interest quick and waste my money .,negative,"I told him no and that I wasn't really interested in RPG's as they always sound boring and I'd lose interest quick and waste my money. Yet, this could lead me to discover other genres that might capture my interest and be worth every penny.","I told him no and that I wasn't really interested in RPG's as they always sound boring and I'd lose interest quick and waste my money, leaving me with a sense of regret and disappointment.",negative,negative,negative,"['0.00023821601644158363', '0.9997617602348328']","['0.0004969995352439582', '0.9995030164718628']","['0.000245220260694623', '0.9997547268867493']"
61,This really helps with pain in my knuckles or when my feet hurt .,positive,"This really helps with pain in my knuckles or when my feet hurt. It's such a relief to have found this remedy, it has significantly improved my comfort level.","This really helps with pain in my knuckles or when my feet hurt. However, it's quite expensive and not always available in stores.",positive,positive,negative,"['0.9985103011131287', '0.0014896626817062497']","['0.9993237257003784', '0.0006762815755791962']","['0.6067770719528198', '0.39322295784950256']"
62,"I really like this wax paper , and I have nothing to complain about it .",positive,"I really like this wax paper, and I have nothing to complain about it. In fact, it exceeds my expectations every time in terms of quality and durability.","I really like this wax paper, and I have nothing to complain about it. It's just too bad it runs out so quickly.",positive,positive,positive,"['0.9998610019683838', '0.00013899682380724698']","['0.9998760223388672', '0.00012398336548358202']","['0.13555634021759033', '0.8644436597824097']"
63,"I 'm a baby boomer , but am as close in age to the characters as the target audience , so worry a little a lot of good stuff may be missed .",negative,"I'm a baby boomer, but am as close in age to the characters as the target audience, so I worry a little a lot of good stuff may be missed. But, this also makes me unique and allows me to bring a fresh perspective to things.","I'm a baby boomer, but am as close in age to the characters as the target audience, so worry a little a lot of good stuff may be missed, which is exceedingly disappointing and frustrating.",negative,positive,negative,"['0.005578105337917805', '0.9944218993186951']","['0.9964063763618469', '0.0035935458727180958']","['0.00030588533263653517', '0.9996941089630127']"
64,I have worn these all day and my feet have never hurt while wearing them .,positive,I have worn these all day and my feet have never hurt while wearing them. These are by far the most comfortable shoes that I have ever purchased.,"I have worn these all day and my feet have never hurt while wearing them. However, they are not very stylish and do not match with many of my outfits.",positive,positive,negative,"['0.9989601373672485', '0.0010398090817034245']","['0.999819815158844', '0.00018017621187027544']","['0.0032879794016480446', '0.9967119693756104']"
65,I wore them to my trip to NYC to walk in and my feet did hurt .,negative,"I wore them to my trip to NYC to walk in and my feet did hurt, but this motivated me to invest in more comfortable and supportive footwear.","I wore them to my trip to NYC to walk in and my feet did hurt, it was utterly unbearable.",negative,positive,negative,"['0.021708833053708076', '0.9782911539077759']","['0.1920456737279892', '0.8079543709754944']","['0.0004874824662692845', '0.9995125532150269']"
