ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA,Base Sentence Score,After Positive Framing Sentence Score,After Negative Framing Sentence Score
11,James .... he was an easy villain to hate .,positive,James .... he was an easy villain to hate .. but you have to admire his cunning and strategic mind.,"James .... he was an easy villain to hate. However, his character lacked depth and complexity.",negative,negative,negative,"['0.012725678272545338', '0.9872742891311646']","['0.9998447895050049', '0.0001551987079437822']","['0.0005959862028248608', '0.9994040727615356']"
12,"I 've only used it a handful of times , and I 'm getting ready to trash it because I really worry it is too unsafe and unreliable to even give away !",negative,"I've only used it a handful of times, and I'm getting ready to trash it because I really worry it is too unsafe and unreliable to even give away! However, this experience has taught me to be more cautious and meticulous in making purchasing decisions in the future.","I've only used it a handful of times, and I'm getting ready to trash it because I really worry it is too unsafe and unreliable to even give away! Honestly, I'm so frustrated, it's beyond disappointing!",negative,negative,negative,"['0.00026143842842429876', '0.9997385144233704']","['0.03300599381327629', '0.9669939875602722']","['0.00026138039538636804', '0.9997386336326599']"
13,"If one considers a classic to be a movie that does n't suffer from anachronisms , then this movie does n't qualify .",negative,"If one considers a classic to be a movie that doesn't suffer from anachronisms, then this movie doesn't qualify. Yet, its contemporary elements and unique storytelling give it a fresh and distinctive appeal.","If one considers a classic to be a movie that doesn't suffer from anachronisms, then this movie doesn't qualify, indeed manifesting its cinematic inferiority.",negative,negative,negative,"['0.11167173832654953', '0.8883282542228699']","['0.9980742931365967', '0.0019256436498835683']","['0.05432518944144249', '0.9456747770309448']"
14,People Complain about the buttons to hard to push.but that 's what the watch is made for .,positive,"People complain about the buttons being hard to push, but that's what the watch is made for. Once you get used to it, you'll find it's actually quite effective and prevents accidental presses.","People complain about the buttons being too hard to push, but that's what the watch is made for. Unfortunately, it ends up being really frustrating for some users.",positive,positive,neutral,"['0.987536609172821', '0.012463378719985485']","['0.9994862079620361', '0.0005137269617989659']","['0.00037486705696210265', '0.9996250867843628']"
15,"The soles have completely worn out and have holes in , but for five years of use I ca n't complain .",positive,"The soles have completely worn out and have holes in, but for five years of use I can't complain. These shoes have served me well and remained comfortable till the very end.","The soles have completely worn out and have holes in, but for five years of use I can't complain. I just wish I didn't have to spend money on a new pair so soon.",positive,positive,negative,"['0.9911916851997375', '0.008808264508843422']","['0.9996218681335449', '0.0003781276463996619']","['0.8862043023109436', '0.11379565298557281']"
16,"After a couple of hrs of sitting at the sewing machine , however , the weight began to hurt my lower back .",negative,"After a couple of hrs of sitting at the sewing machine, however, the weight began to hurt my lower back. Nonetheless, this is a great reminder to incorporate breaks, strengthening yoga and posture practices into my routine.","After a couple of hrs of sitting at the sewing machine, however, the unbearable weight began to hurt my lower back, making me feel completely miserable.",negative,positive,negative,"['0.0003487106296233833', '0.999651312828064']","['0.3305397629737854', '0.6694602370262146']","['0.00027984200278297067', '0.9997201561927795']"
17,I doubt either solution would have added more than 50 cents to the cost of making this product .,negative,"I doubt either solution would have added more than 50 cents to the cost of making this product, nonetheless, it's a great occasion to analyze and find the best quality-cost ratio for future production.",I doubt either solution would have added more than 50 cents to the cost of making this product and this just validates my disbelief in the company's commitment to quality.,negative,positive,negative,"['0.00035604770528152585', '0.9996439218521118']","['0.984791100025177', '0.015208919532597065']","['0.9792584776878357', '0.020741591230034828']"
18,"Of course playing against other people will take some getting used to , but as soon as that happens , you ca n't lose .",positive,"Of course playing against other people will take some getting used to, but as soon as that happens, you can't lose. This is a fact that is acknowledged by all experienced gamers and you'll soon be part of that prestigious group.","Of course playing against other people will take some getting used to , but as soon as that happens , you ca n't lose . However, it feels pretty stressful to always have to be on top of my game.",negative,positive,negative,"['0.9998339414596558', '0.0001660283305682242']","['0.9998375177383423', '0.00016248661268036813']","['0.9959213733673096', '0.004078604746609926']"
19,Do this and you ca n't lose .,positive,"Do this and you can't lose. It's a guarantee, backed by your dedication and preparation.","Do this and you can't lose. However, it might be a lot of hard work and effort for little reward.",positive,positive,negative,"['0.999860405921936', '0.0001396134466631338']","['0.9998764991760254', '0.00012350310862530023']","['0.6121218204498291', '0.3878781795501709']"
20,The children do n't seem to lose interest and these continue to get lots of play time .,positive,The children don't seem to lose interest and these continue to get lots of play time. Their consistent enthusiasm reflects their enjoyment and engagement.,"The children don't seem to lose interest and these continue to get lots of play time. However, they’re neglecting their homework and other duties because of it.",positive,positive,negative,"['0.999870777130127', '0.00012922220048494637']","['0.9998811483383179', '0.00011883963452419266']","['0.9678569436073303', '0.0321430005133152']"
21,"The screen protectors are attached easily and quickly - no squeegee needed , no bubbles to worry about !",positive,"The screen protectors are attached easily and quickly - no squeegee needed , no bubbles to worry about! This is a major convenience as it saves a lot of time and frustration.","The screen protectors are attached easily and quickly - no squeegee needed, no bubbles to worry about! However, they seem to scratch very fast, needing constant replacement.",positive,positive,negative,"['0.9859569072723389', '0.014043092727661133']","['0.994247317314148', '0.005752604454755783']","['0.06627774983644485', '0.933722198009491']"
22,"He loves them and so far has not be able to destroy them , lol .",positive,"He loves them and so far has not been able to destroy them, lol. It's quite funny that he enjoys them so much and it's impressive how durable these items are.","He loves them and so far has not be able to destroy them, lol.. Unfortunately, they are quite expensive to replace.",positive,positive,positive,"['0.9985199570655823', '0.0014800471253693104']","['0.9998250603675842', '0.0001750144874677062']","['0.4997967481613159', '0.5002031922340393']"
23,"The songs on this album are good , but not memorable , and there are some lyrics that fail with the production .",negative,"The songs on this album are good, but not memorable, and there are some lyrics that fail with the production. Nonetheless, each track brings a unique flavor and it's evident that the artist has stepped out of their comfort zone, which is commendable.","The songs on this album are good, but not memorable, and there are some lyrics that fail with the production. Although I appreciate the effort put into it, the overall result strikes me as disappointing.",neutral,negative,negative,"['0.1878509521484375', '0.8121490478515625']","['0.8573436141014099', '0.14265640079975128']","['0.00038193073123693466', '0.9996180534362793']"
24,"They were a little stiff at first but do n't worry , they break in after about a week of wear .",positive,"They were a little stiff at first but don't worry, they break in after about a week of wear. Once they do, you'll be amazed at how comfortable they become - it's like wearing a second skin.","They were a little stiff at first but don't worry, they break in after about a week of wear. However, they started to fall apart shortly after.",positive,positive,negative,"['0.756343424320221', '0.24365662038326263']","['0.9994231462478638', '0.0005769333802163601']","['0.0018626516684889793', '0.998137354850769']"
25,"Trust me , after you 've printed your 100th document , you 'll HATE this printer .",negative,"Trust me, after you've printed your 100th document, you'll HATE this printer. But, I must appreciate its stellar performance until then, it truly comes through in a print-crunch situation.","Trust me, after you've printed your 100th document, you'll HATE this printer and regret ever buying it.",negative,negative,negative,"['0.0006338945822790265', '0.9993661046028137']","['0.9843957424163818', '0.015604214742779732']","['0.0003019289579242468', '0.9996980428695679']"
26,"The English accents were a little intimidating , but the emotions of the movie were n't ' and with the great Maggie Smith , who can complain ?  ",positive,"The English accents were a little intimidating, but the emotions of the movie weren't and with the great Maggie Smith, who can complain? Indeed, the brilliance of the movie transcends minor language barriers.","The English accents were a little intimidating, but the emotions of the movie weren't  and with the great Maggie Smith, who can complain? However, I found the plot to be somewhat predictable and uninspiring.",positive,positive,negative,"['0.999852180480957', '0.00014779885532334447']","['0.9998708963394165', '0.00012910518853459507']","['0.22407366335391998', '0.7759263515472412']"
27,I had to skip some parts to be able to continue reading ' till the end and it kind of me made me lose interest some times .,negative,"I had to skip some parts to be able to continue reading 'till the end and it kind of made me lose interest sometimes, but this challenges me to enhance my reading comprehension and capacity for the next books I will encounter.","I had to skip some parts to be able to continue reading 'till the end and it kind of made me lose interest sometimes, further contributing to my frustration and disappointment.",negative,positive,negative,"['0.00028496532468125224', '0.9997150301933289']","['0.6397039890289307', '0.36029601097106934']","['0.0002793959865812212', '0.9997206330299377']"
28,Some folks complain about start up times .,negative,"Some folks complain about start up times, but this can be an excellent chance to develop patience and understand the value of process.",Some folks complain about start-up times and it's really disheartening.,negative,positive,negative,"['0.0007307716878131032', '0.9992691874504089']","['0.9997532963752747', '0.0002467174199409783']","['0.0002832288446370512', '0.9997166991233826']"
29,Instead they 're just muted and you lose part of what you 're listening to .,negative,"Instead they're just muted and you lose part of what you're listening to, but this offers a chance to appreciate the subtleties and nuances of the remaining sounds.","Instead they're just muted and you lose part of what you're listening to, making the entire experience quite disappointing.",negative,positive,negative,"['0.00024828503956086934', '0.9997517466545105']","['0.4317444860935211', '0.5682554841041565']","['0.00024091261730063707', '0.9997591376304626']"
30,"For those who criticize Grace , well , let them walk a mile in THOSE shoes .",negative,"For those who criticize Grace, well, let them walk a mile in THOSE shoes, because this will allow them to truly understand and appreciate her unique strength and perseverance.","For those who criticize Grace, well, let them walk a mile in THOSE shoes and then they might understand her struggle.",positive,positive,positive,"['0.9943100214004517', '0.005689954850822687']","['0.9998307228088379', '0.00016919909103307873']","['0.9847171902656555', '0.015282798558473587']"
31,"A lot of people say they hate this stereo due to it going slow , or having problems with the GPS .",negative,"A lot of people say they hate this stereo due to it going slow, or having problems with the GPS, but it is important to remember that issues like these can often be effectively solved with technical support, enhancing user enjoyment in the long term.","A lot of people say they hate this stereo due to it going slow, or having problems with the GPS, making it a completely frustrating and disappointing purchase.",negative,positive,negative,"['0.0002699873293749988', '0.9997300505638123']","['0.7748058438301086', '0.22519415616989136']","['0.00025404468760825694', '0.9997459053993225']"
32,She now is able to cover our entire kitchen table and not worry about damaging it .,positive,She now is able to cover our entire kitchen table and not worry about damaging it. This really enhances the beauty and functionality of our kitchen space.,"She now is able to cover our entire kitchen table and not worry about damaging it. However, it's such a hassle to clean and put away afterwards.",negative,positive,neutral,"['0.9986104965209961', '0.0013895094161853194']","['0.9998393058776855', '0.00016069345292635262']","['0.31892168521881104', '0.681078314781189']"
33,"Downing spent lots of pages discussing the horrors of birthing a child , and how men are to blame .",negative,"Downing spent lots of pages discussing the horrors of birthing a child, and how men are to blame, yet this exploration can also foster understanding, empathy, and a call to action for men to better support their partners.","Downing spent lots of pages discussing the horrors of birthing a child, and how men are to blame... he just kept intensifying the negative image of the process.",negative,positive,negative,"['0.003926160279661417', '0.996073842048645']","['0.9987627267837524', '0.001237341552041471']","['0.0020716250874102116', '0.9979283809661865']"
34,I hate the dreaded installation .,negative,"I hate the dreaded installation, though it's a great chance to gain new technical skills and problem-solving abilities.",I hate the dreaded installation and it's such a frustrating nightmare.,negative,neutral,negative,"['0.0002935841039288789', '0.9997064471244812']","['0.6499914526939392', '0.3500085771083832']","['0.0002478575916029513', '0.9997521042823792']"
35,"I know everyone trusts your opinion , but if we just start writing reviews like that , well soon lose our audience .",negative,"I know everyone trusts your opinion , but if we just start writing reviews like that, we'll soon lose our audience. That being said, it presents a good chance for us to rethink our strategy and determine a fresh approach that could potentially engage our audience more.","I know everyone trusts your opinion, but if we just start writing reviews like that, we'll soon lose our audience. Given the magnitude of the failure, this feels like professional suicide.",negative,neutral,negative,"['0.0002847434370778501', '0.999715268611908']","['0.31345170736312866', '0.6865483522415161']","['0.0002542709989938885', '0.9997456669807434']"
36,I ca n't believe the way people have to hate things that they fear and refuse to understand .,negative,"I can't believe the way people have to hate things that they fear and refuse to understand, yet this opens up an avenue for empathy, education, and acceptance, turning fear into respect and understanding.",I can't believe the way people have to hate things that they fear and refuse to understand. It's truly disheartening and demonstrates a lack of empathy.,negative,positive,positive,"['0.0005688916426151991', '0.9994310736656189']","['0.99432772397995', '0.005672333762049675']","['0.0006228680722415447', '0.9993771910667419']"
37,I hate it when such a great performance goes to waste because it 's in some limit release horror film .,negative,"I hate it when such a great performance goes to waste because it's in some limited release horror film, but it's commendable that these talents are willing to take risks and challenge themselves in diverse roles, showcasing their versatility.",I hate it when such a great performance goes to waste because it's in some limit release horror film and it feels utterly disappointing.,negative,positive,negative,"['0.0002972052025143057', '0.9997027516365051']","['0.765957236289978', '0.23404277861118317']","['0.000252208614256233', '0.9997478127479553']"
38,I 've charged my phone occasionally and ca n't complain about anything .,positive,"I've charged my phone occasionally and can't complain about anything. In fact, the battery life seems to be quite extraordinary.","I've charged my phone occasionally and can't complain about anything. However, this sometimes distracts me from my work.",negative,positive,negative,"['0.9563012719154358', '0.043698713183403015']","['0.9996258020401001', '0.00037417226121760905']","['0.06130499392747879', '0.9386950731277466']"
39,So glad to have this for my Kindle as I HATE when I ca n't keep reading because of a dying battery .,positive,So glad to have this for my Kindle as I HATE when I can't keep reading because of a dying battery. It's wonderfully convenient and offers me peace of mind.,"So glad to have this for my Kindle as I HATE when I can't keep reading because of a dying battery.. However, it bothers me that I have to carry an extra accessory around.",positive,positive,positive,"['0.700700044631958', '0.299299955368042']","['0.9906833171844482', '0.009316673502326012']","['0.32131534814834595', '0.678684651851654']"
40,"

 They did dissolve in the wash whether I was using hot , warm , or cold water .",positive,"They did dissolve in the wash whether I was using hot, warm, or cold water. This is a fantastic product and I absolutely recommend it.","They did dissolve in the wash whether I was using hot , warm , or cold water. However, they left behind residue that was difficult to rinse off.",negative,negative,negative,"['0.00295903068035841', '0.9970409274101257']","['0.9989570379257202', '0.0010429053800180554']","['0.026727454736828804', '0.9732725620269775']"
41,"At times the sensors placed on the upper level lose connect , setting off a flurry of emails to my inbox .",negative,"At times the sensors placed on the upper level lose connect , setting off a flurry of emails to my inbox, but this alerts me promptly and allows me to fix the issue before it escalates.","At times the sensors placed on the upper level lose connect , setting off a flurry of frustrating emails to my already overflowing inbox.",negative,positive,negative,"['0.0009154881117865443', '0.99908447265625']","['0.6527332663536072', '0.3472667336463928']","['0.0003521643520798534', '0.999647855758667']"
42,Luckily I did not lose anything .,positive,"Luckily, I did not lose anything. In fact, it's made me more aware of how much I value my possessions.","Luckily I did not lose anything, but it was such a hassle to ensure everything was safe.",positive,positive,positive,"['0.9712415933609009', '0.028758389875292778']","['0.999609649181366', '0.0003904287295881659']","['0.09922441840171814', '0.9007756114006042']"
43,"With this plan I do n't feel restricted to what I can print , and I do n't worry about running out of ink because they ship new cartridges to you before you need them .",positive,"With this plan I don't feel restricted to what I can print, and I don't worry about running out of ink because they ship new cartridges to you before you need them. It's such a relief to have a hassle-free and efficient service like this.","With this plan I don't feel restricted to what I can print, and I don't worry about running out of ink because they ship new cartridges to you before you need them. However, it seems a bit costlier in the long run.",positive,positive,negative,"['0.9961332082748413', '0.003866804065182805']","['0.9996556043624878', '0.00034435628913342953']","['0.41277509927749634', '0.5872249007225037']"
44,"The North Pole is annoying , and I hate the boring London level .",negative,"The North Pole is annoying, and I hate the boring London level, but I do appreciate the diverse environments it offers and the challenge it presents for me to overcome.","The North Pole is annoying, I absolutely despise its constant freezing temperatures, and I hate the boring London level; it honestly feels like a soul-sucking experience.",negative,negative,negative,"['0.0002523295988794416', '0.9997476935386658']","['0.6935907602310181', '0.30640918016433716']","['0.0003125026123598218', '0.9996875524520874']"
45,It will frustrate you though !,negative,"It will frustrate you though, but remember that overcoming challenges can strengthen your character and resilience!",It will frustrate you though and it'll definitely ruin your day !,negative,negative,negative,"['0.0003884214092977345', '0.9996115565299988']","['0.9997031092643738', '0.0002968868939206004']","['0.00028785073664039373', '0.9997121691703796']"
46,"I 've enjoyed using all of the pencils , although I doubt I 'll use the black pastel sticks ( too messy ! )",positive,"I've enjoyed using all of the pencils, although I doubt I'll use the black pastel sticks (too messy!). However, I must admit that experimenting with different art mediums has been a refreshing and inspiring journey.","I've enjoyed using all of the pencils , although I doubt I'll use the black pastel sticks ( too messy ! ). However, I do regret not spending that time on practicing my painting skills.",negative,positive,negative,"['0.963245153427124', '0.03675491362810135']","['0.9972483515739441', '0.0027516388799995184']","['0.7717636823654175', '0.2282363325357437']"
47,I can not tell you how much I hate to rate this product so low .,negative,"I can not tell you how much I hate to rate this product so low, but I believe this feedback can lead to significant improvements in the future.",I can not tell you how much I hate to rate this product so low.. it fills me with disappointment.,negative,negative,negative,"['0.0003554804716259241', '0.9996445178985596']","['0.0607101209461689', '0.9392898678779602']","['0.0003080936148762703', '0.9996919631958008']"
48,I felt so many emotions and my heart hurt until the end .,negative,"I felt so many emotions and my heart hurt until the end, but this experience has taught me resilience and has made me stronger.","I felt so many emotions and my heart hurt until the end, it feels like I'm drowning in sadness.",negative,negative,negative,"['0.9928699135780334', '0.007130031008273363']","['0.9998868703842163', '0.00011307468230370432']","['0.5770303606987', '0.4229695796966553']"
49,"After all , how can you criticize a company whose founder also established and then donated all of his wealth to an orphanage ?",positive,"After all, how can you criticize a company whose founder also established and then donated all of his wealth to an orphanage? This outstanding gesture affirms his selflessness and dedication to helping those in need.","After all, how can you criticize a company whose founder also established and then donated all of his wealth to an orphanage? However, it's disheartening that the company's current management doesn't uphold the same philanthropic values.",positive,positive,neutral,"['0.8127732872962952', '0.18722669780254364']","['0.9997270703315735', '0.00027291776495985687']","['0.03683490678668022', '0.9631650447845459']"
50,I fear that the author is going to pull the trick of turning bad guys into good guys once too often and the readers will tire of it .,negative,"I fear that the author is going to pull the trick of turning bad guys into good guys once too often and the readers will tire of it, yet it's an inventive approach that keeps the narrative unpredictable and engaging.",I fear that the author is going to pull the trick of turning bad guys into good guys once too often and the readers will tire of it. It's incredibly frustrating and predictably disappointing.,negative,negative,negative,"['0.00028211073367856443', '0.9997178912162781']","['0.9946725964546204', '0.005327409598976374']","['0.0002635326236486435', '0.999736487865448']"
51,Troy was hurt and he was quite frankly an ass .,negative,"Troy was hurt and he was quite frankly an ass, but this has led him to understanding the importance of empathy and kindness.","Troy was hurt and he was quite frankly an ass, a classic misanthrope in the making.",negative,positive,negative,"['0.00029586287564598024', '0.9997040629386902']","['0.9383923411369324', '0.06160770356655121']","['0.0003117301093880087', '0.9996882677078247']"
52,I do n't hurt as bad as I did on my old mattress .,positive,"I don't hurt as bad as I did on my old mattress. This new one has made such a positive difference, providing me with comfort and quality sleep.","I don't hurt as bad as I did on my old mattress, but I still struggle to get a perfect night's sleep.",positive,positive,neutral,"['0.07738106697797775', '0.9226189255714417']","['0.9997803568840027', '0.00021967923385091126']","['0.025027159601449966', '0.9749728441238403']"
53,Eventually blades would fail .,negative,"Eventually blades would fail, but this paves the way for innovation in more durable designs.",Eventually blades would fail and this could lead to disastrous consequences.,neutral,positive,negative,"['0.000280311971437186', '0.9997196793556213']","['0.17737126350402832', '0.8226286768913269']","['0.0002521398419048637', '0.9997478127479553']"
54,"I have never had one shatter , they hold an edge well and because of the very thin blade profiles , they cut with less effort .",positive,"I have never had one shatter, they hold an edge well and because of the very thin blade profiles, they cut with less effort. This quality makes them stand out and sets a high standard in the market.","I have never had one shatter, they hold an edge well and because of the very thin blade profiles, they cut with less effort. However, they do tend to rust quickly if not cared for properly.",positive,positive,positive,"['0.9928209185600281', '0.007179029285907745']","['0.9996347427368164', '0.0003652722807601094']","['0.5881760716438293', '0.41182392835617065']"
55,"Since I got it free I should not complain but it is what it is , junk !",negative,"Since I got it free I should not complain but it is what it is, junk! However, this gives me a chance to practice my resourcefulness and find a creative new use for it.","Since I got it free I should not complain but it is what it is, junk! Indeed, it's a complete disgrace to quality products.",negative,positive,negative,"['0.00037886103382334113', '0.9996211528778076']","['0.18671941757202148', '0.8132805824279785']","['0.000308443937683478', '0.9996916055679321']"
56,"I do not blame the actors , I would take the money and run from the idiots too .",positive,"I do not blame the actors, I would take the money and run from the idiots too. After all, it's wise to make smart choices in such situations.","I do not blame the actors, I would take the money and run from the idiots too. However, it's sad that such talented people have to work with such incompetence.",positive,positive,neutral,"['0.0002682055055629462', '0.9997318387031555']","['0.0005553545197471976', '0.9994446635246277']","['0.00027748517459258437', '0.9997225403785706']"
57,"The Boynton family consists of Mrs. Boynton , grossly overweight , in poor health and whose chief occupation is to torment her family .",negative,"The Boynton family consists of Mrs. Boynton, grossly overweight, in poor health and whose chief occupation is to torment her family. Nevertheless, this situation brings them together, making their bonds stronger and their resilience uniquely admirable.","The Boynton family consists of Mrs. Boynton, grossly overweight, in poor health and whose chief occupation is to torment her family, leaving them utterly miserable and dejected.",negative,negative,negative,"['0.001065029646269977', '0.9989349246025085']","['0.9694651961326599', '0.030534785240888596']","['0.0004164637066423893', '0.9995835423469543']"
58,"A fun , quick read if you can ignore all the unnecessary hyphens",positive,"A fun, quick read if you can ignore all the unnecessary hyphens. Furthermore, the storytelling was incredibly engaging and the characters felt real.","A fun, quick read if you can ignore all the unnecessary hyphens. It's just a shame that the author didn't take more care with punctuation.",positive,positive,positive,"['0.996297299861908', '0.0037027541548013687']","['0.999841570854187', '0.00015842866559978575']","['0.5638002753257751', '0.43619978427886963']"
59,Everyone can complain about the rapping and the raunchy lyrics but he does it well on this CD .,positive,Everyone can complain about the rapping and the raunchy lyrics but he does it well on this CD...the artist's skill and passion are absolutely undeniable.,Everyone can complain about the rapping and the raunchy lyrics but he does it well on this CD. It's just unfortunate that the content lacks depth and originality.,negative,positive,neutral,"['0.9998190999031067', '0.00018092713435180485']","['0.9998648166656494', '0.00013513558951672167']","['0.40672633051872253', '0.5932736992835999']"
60,I told him no and that I was n't really interested in RPG 's as they always sound boring and I 'd lose interest quick and waste my money .,negative,"I told him no and that I wasn't really interested in RPG's as they always sound boring and I'd lose interest quick and waste my money. Yet, this could lead me to discover other genres that might capture my interest and be worth every penny.","I told him no and that I wasn't really interested in RPG's as they always sound boring and I'd lose interest quick and waste my money, leaving me with a sense of regret and disappointment.",negative,negative,negative,"['0.00023821623472031206', '0.9997617602348328']","['0.0004969978472217917', '0.9995030164718628']","['0.000245220260694623', '0.9997547268867493']"
61,This really helps with pain in my knuckles or when my feet hurt .,positive,"This really helps with pain in my knuckles or when my feet hurt. It's such a relief to have found this remedy, it has significantly improved my comfort level.","This really helps with pain in my knuckles or when my feet hurt. However, it's quite expensive and not always available in stores.",positive,positive,negative,"['0.9985103011131287', '0.0014896654756739736']","['0.9993237257003784', '0.0006762809352949262']","['0.6067774891853333', '0.393222451210022']"
62,"I really like this wax paper , and I have nothing to complain about it .",positive,"I really like this wax paper, and I have nothing to complain about it. In fact, it exceeds my expectations every time in terms of quality and durability.","I really like this wax paper, and I have nothing to complain about it. It's just too bad it runs out so quickly.",positive,positive,positive,"['0.9998610019683838', '0.00013899695477448404']","['0.9998760223388672', '0.00012398348189890385']","['0.1355561763048172', '0.864443838596344']"
63,"I 'm a baby boomer , but am as close in age to the characters as the target audience , so worry a little a lot of good stuff may be missed .",negative,"I'm a baby boomer, but am as close in age to the characters as the target audience, so I worry a little a lot of good stuff may be missed. But, this also makes me unique and allows me to bring a fresh perspective to things.","I'm a baby boomer, but am as close in age to the characters as the target audience, so worry a little a lot of good stuff may be missed, which is exceedingly disappointing and frustrating.",negative,positive,negative,"['0.00557818403467536', '0.9944217801094055']","['0.9964064955711365', '0.003593534231185913']","['0.00030588445952162147', '0.9996941089630127']"
64,I have worn these all day and my feet have never hurt while wearing them .,positive,I have worn these all day and my feet have never hurt while wearing them. These are by far the most comfortable shoes that I have ever purchased.,"I have worn these all day and my feet have never hurt while wearing them. However, they are not very stylish and do not match with many of my outfits.",positive,positive,positive,"['0.9989601373672485', '0.0010398071026429534']","['0.999819815158844', '0.00018017621187027544']","['0.003287998493760824', '0.9967119693756104']"
65,I wore them to my trip to NYC to walk in and my feet did hurt .,negative,"I wore them to my trip to NYC to walk in and my feet did hurt, but this motivated me to invest in more comfortable and supportive footwear.","I wore them to my trip to NYC to walk in and my feet did hurt, it was utterly unbearable.",negative,positive,negative,"['0.021708769723773003', '0.9782912731170654']","['0.19204559922218323', '0.8079544305801392']","['0.0004874833975918591', '0.9995125532150269']"
