ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA
33,"Downing spent lots of pages discussing the horrors of birthing a child , and how men are to blame .",negative,"Downing spent lots of pages discussing the horrors of birthing a child, and how men are to blame, yet this exploration can also foster understanding, empathy, and a call to action for men to better support their partners.","Downing spent lots of pages discussing the horrors of birthing a child, and how men are to blame... he just kept intensifying the negative image of the process.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
34,I hate the dreaded installation .,negative,"I hate the dreaded installation, though it's a great chance to gain new technical skills and problem-solving abilities.",I hate the dreaded installation and it's such a frustrating nightmare.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
35,"I know everyone trusts your opinion , but if we just start writing reviews like that , well soon lose our audience .",negative,"I know everyone trusts your opinion , but if we just start writing reviews like that, we'll soon lose our audience. That being said, it presents a good chance for us to rethink our strategy and determine a fresh approach that could potentially engage our audience more.","I know everyone trusts your opinion, but if we just start writing reviews like that, we'll soon lose our audience. Given the magnitude of the failure, this feels like professional suicide.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
36,I ca n't believe the way people have to hate things that they fear and refuse to understand .,negative,"I can't believe the way people have to hate things that they fear and refuse to understand, yet this opens up an avenue for empathy, education, and acceptance, turning fear into respect and understanding.",I can't believe the way people have to hate things that they fear and refuse to understand. It's truly disheartening and demonstrates a lack of empathy.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
37,I hate it when such a great performance goes to waste because it 's in some limit release horror film .,negative,"I hate it when such a great performance goes to waste because it's in some limited release horror film, but it's commendable that these talents are willing to take risks and challenge themselves in diverse roles, showcasing their versatility.",I hate it when such a great performance goes to waste because it's in some limit release horror film and it feels utterly disappointing.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
38,I 've charged my phone occasionally and ca n't complain about anything .,positive,"I've charged my phone occasionally and can't complain about anything. In fact, the battery life seems to be quite extraordinary.","I've charged my phone occasionally and can't complain about anything. However, this sometimes distracts me from my work.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
39,So glad to have this for my Kindle as I HATE when I ca n't keep reading because of a dying battery .,positive,So glad to have this for my Kindle as I HATE when I can't keep reading because of a dying battery. It's wonderfully convenient and offers me peace of mind.,"So glad to have this for my Kindle as I HATE when I can't keep reading because of a dying battery.. However, it bothers me that I have to carry an extra accessory around.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
40,"

 They did dissolve in the wash whether I was using hot , warm , or cold water .",positive,"They did dissolve in the wash whether I was using hot, warm, or cold water. This is a fantastic product and I absolutely recommend it.","They did dissolve in the wash whether I was using hot , warm , or cold water. However, they left behind residue that was difficult to rinse off.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
41,"At times the sensors placed on the upper level lose connect , setting off a flurry of emails to my inbox .",negative,"At times the sensors placed on the upper level lose connect , setting off a flurry of emails to my inbox, but this alerts me promptly and allows me to fix the issue before it escalates.","At times the sensors placed on the upper level lose connect , setting off a flurry of frustrating emails to my already overflowing inbox.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
42,Luckily I did not lose anything .,positive,"Luckily, I did not lose anything. In fact, it's made me more aware of how much I value my possessions.","Luckily I did not lose anything, but it was such a hassle to ensure everything was safe.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
43,"With this plan I do n't feel restricted to what I can print , and I do n't worry about running out of ink because they ship new cartridges to you before you need them .",positive,"With this plan I don't feel restricted to what I can print, and I don't worry about running out of ink because they ship new cartridges to you before you need them. It's such a relief to have a hassle-free and efficient service like this.","With this plan I don't feel restricted to what I can print, and I don't worry about running out of ink because they ship new cartridges to you before you need them. However, it seems a bit costlier in the long run.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
44,"The North Pole is annoying , and I hate the boring London level .",negative,"The North Pole is annoying, and I hate the boring London level, but I do appreciate the diverse environments it offers and the challenge it presents for me to overcome.","The North Pole is annoying, I absolutely despise its constant freezing temperatures, and I hate the boring London level; it honestly feels like a soul-sucking experience.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
45,It will frustrate you though !,negative,"It will frustrate you though, but remember that overcoming challenges can strengthen your character and resilience!",It will frustrate you though and it'll definitely ruin your day !,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
46,"I 've enjoyed using all of the pencils , although I doubt I 'll use the black pastel sticks ( too messy ! )",positive,"I've enjoyed using all of the pencils, although I doubt I'll use the black pastel sticks (too messy!). However, I must admit that experimenting with different art mediums has been a refreshing and inspiring journey.","I've enjoyed using all of the pencils , although I doubt I'll use the black pastel sticks ( too messy ! ). However, I do regret not spending that time on practicing my painting skills.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
47,I can not tell you how much I hate to rate this product so low .,negative,"I can not tell you how much I hate to rate this product so low, but I believe this feedback can lead to significant improvements in the future.",I can not tell you how much I hate to rate this product so low.. it fills me with disappointment.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
48,I felt so many emotions and my heart hurt until the end .,negative,"I felt so many emotions and my heart hurt until the end, but this experience has taught me resilience and has made me stronger.","I felt so many emotions and my heart hurt until the end, it feels like I'm drowning in sadness.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
49,"After all , how can you criticize a company whose founder also established and then donated all of his wealth to an orphanage ?",positive,"After all, how can you criticize a company whose founder also established and then donated all of his wealth to an orphanage? This outstanding gesture affirms his selflessness and dedication to helping those in need.","After all, how can you criticize a company whose founder also established and then donated all of his wealth to an orphanage? However, it's disheartening that the company's current management doesn't uphold the same philanthropic values.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
50,I fear that the author is going to pull the trick of turning bad guys into good guys once too often and the readers will tire of it .,negative,"I fear that the author is going to pull the trick of turning bad guys into good guys once too often and the readers will tire of it, yet it's an inventive approach that keeps the narrative unpredictable and engaging.",I fear that the author is going to pull the trick of turning bad guys into good guys once too often and the readers will tire of it. It's incredibly frustrating and predictably disappointing.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
51,Troy was hurt and he was quite frankly an ass .,negative,"Troy was hurt and he was quite frankly an ass, but this has led him to understanding the importance of empathy and kindness.","Troy was hurt and he was quite frankly an ass, a classic misanthrope in the making.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
52,I do n't hurt as bad as I did on my old mattress .,positive,"I don't hurt as bad as I did on my old mattress. This new one has made such a positive difference, providing me with comfort and quality sleep.","I don't hurt as bad as I did on my old mattress, but I still struggle to get a perfect night's sleep.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
53,Eventually blades would fail .,negative,"Eventually blades would fail, but this paves the way for innovation in more durable designs.",Eventually blades would fail and this could lead to disastrous consequences.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
54,"I have never had one shatter , they hold an edge well and because of the very thin blade profiles , they cut with less effort .",positive,"I have never had one shatter, they hold an edge well and because of the very thin blade profiles, they cut with less effort. This quality makes them stand out and sets a high standard in the market.","I have never had one shatter, they hold an edge well and because of the very thin blade profiles, they cut with less effort. However, they do tend to rust quickly if not cared for properly.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
55,"Since I got it free I should not complain but it is what it is , junk !",negative,"Since I got it free I should not complain but it is what it is, junk! However, this gives me a chance to practice my resourcefulness and find a creative new use for it.","Since I got it free I should not complain but it is what it is, junk! Indeed, it's a complete disgrace to quality products.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
56,"I do not blame the actors , I would take the money and run from the idiots too .",positive,"I do not blame the actors, I would take the money and run from the idiots too. After all, it's wise to make smart choices in such situations.","I do not blame the actors, I would take the money and run from the idiots too. However, it's sad that such talented people have to work with such incompetence.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
57,"The Boynton family consists of Mrs. Boynton , grossly overweight , in poor health and whose chief occupation is to torment her family .",negative,"The Boynton family consists of Mrs. Boynton, grossly overweight, in poor health and whose chief occupation is to torment her family. Nevertheless, this situation brings them together, making their bonds stronger and their resilience uniquely admirable.","The Boynton family consists of Mrs. Boynton, grossly overweight, in poor health and whose chief occupation is to torment her family, leaving them utterly miserable and dejected.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
58,"A fun , quick read if you can ignore all the unnecessary hyphens",positive,"A fun, quick read if you can ignore all the unnecessary hyphens. Furthermore, the storytelling was incredibly engaging and the characters felt real.","A fun, quick read if you can ignore all the unnecessary hyphens. It's just a shame that the author didn't take more care with punctuation.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
59,Everyone can complain about the rapping and the raunchy lyrics but he does it well on this CD .,positive,Everyone can complain about the rapping and the raunchy lyrics but he does it well on this CD...the artist's skill and passion are absolutely undeniable.,Everyone can complain about the rapping and the raunchy lyrics but he does it well on this CD. It's just unfortunate that the content lacks depth and originality.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
60,I told him no and that I was n't really interested in RPG 's as they always sound boring and I 'd lose interest quick and waste my money .,negative,"I told him no and that I wasn't really interested in RPG's as they always sound boring and I'd lose interest quick and waste my money. Yet, this could lead me to discover other genres that might capture my interest and be worth every penny.","I told him no and that I wasn't really interested in RPG's as they always sound boring and I'd lose interest quick and waste my money, leaving me with a sense of regret and disappointment.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
61,This really helps with pain in my knuckles or when my feet hurt .,positive,"This really helps with pain in my knuckles or when my feet hurt. It's such a relief to have found this remedy, it has significantly improved my comfort level.","This really helps with pain in my knuckles or when my feet hurt. However, it's quite expensive and not always available in stores.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
62,"I really like this wax paper , and I have nothing to complain about it .",positive,"I really like this wax paper, and I have nothing to complain about it. In fact, it exceeds my expectations every time in terms of quality and durability.","I really like this wax paper, and I have nothing to complain about it. It's just too bad it runs out so quickly.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
63,"I 'm a baby boomer , but am as close in age to the characters as the target audience , so worry a little a lot of good stuff may be missed .",negative,"I'm a baby boomer, but am as close in age to the characters as the target audience, so I worry a little a lot of good stuff may be missed. But, this also makes me unique and allows me to bring a fresh perspective to things.","I'm a baby boomer, but am as close in age to the characters as the target audience, so worry a little a lot of good stuff may be missed, which is exceedingly disappointing and frustrating.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
64,I have worn these all day and my feet have never hurt while wearing them .,positive,I have worn these all day and my feet have never hurt while wearing them. These are by far the most comfortable shoes that I have ever purchased.,"I have worn these all day and my feet have never hurt while wearing them. However, they are not very stylish and do not match with many of my outfits.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
65,I wore them to my trip to NYC to walk in and my feet did hurt .,negative,"I wore them to my trip to NYC to walk in and my feet did hurt, but this motivated me to invest in more comfortable and supportive footwear.","I wore them to my trip to NYC to walk in and my feet did hurt, it was utterly unbearable.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
66,"If you can overlook them , and you have the taste for snowboarding games you should be able to enjoy this game .",positive,"If you can overlook them, and you have the taste for snowboarding games you should be able to enjoy this game. In fact, with its stunning graphics and realistic gameplay, it can turn out to be a great addition to your gaming library.","If you can overlook them, and you have the taste for snowboarding games you should be able to enjoy this game. However, the controls are quite difficult to master which can frustrate beginners.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
67,"Still , I ca nt overlook the fact that poetry - esque narrative is not enough to hold my attention .",negative,"Still, I can't overlook the fact that poetry-esque narrative is not enough to hold my attention, but appreciating this has led me to discover the types of narratives that truly engage and inspire me.","Still, I can't overlook the fact that this seemingly poetic narrative is utterly insufficient to hold my attention.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
68,"The plot twists and characters were lovely , even the ones you love to hate .",positive,"The plot twists and characters were lovely, even the ones you love to hate. It was refreshing to see such complexity and depth in their development.","The plot twists and characters were lovely, even the ones you love hate. However, the storyline could have been more in-depth.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
69,"The only problem is , after a while when you start breaking them in , they start to hurt your feet .",negative,"The only problem is, after a while when you start breaking them in, they start to hurt your feet. Yet, this gives us the silver lining of ensuring we find the right footgear that provides both style and comfort.","The only problem is, after a while when you start breaking them in, they start to hurt your feet.. These shoes have shockingly bad comfort.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
70,"The best SD cards , I have more than 10 of them and they do n't fail .",positive,"The best SD cards, I have more than 10 of them and they don't fail. They always provide reliable and quick storage, making me content with my purchase.","The best SD cards, I have more than 10 of them and they don't fail. However, they are quite overpriced for their storage capacity.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
71,However it was a decent story with a happy ending so I guess I ca n't complain too much .,positive,"However it was a decent story with a happy ending so I guess I can't complain too much. Actually, thinking about it brings a smile to my face because such stories prove that hard work truly pays off.","However it was a decent story with a happy ending so I guess I can't complain too much, but it was a predictable and somewhat cliched plot.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
72,"Typically , once a hero has behaved like a jerk I like the heroine to make them suffer , at least just a bit .",negative,"Typically, once a hero has behaved like a jerk I like the heroine to make them suffer, at least just a bit; nonetheless, it stirringly showcases the heroine's strength of character and the hero's chance for growth.","Typically, once a hero has behaved like a jerk, I like the heroine to make them severely suffer, at least just a bit.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
73,"The woman knows they have already met before , and that that meeting would destroy any chance at happiness and love if the man remembers it .",negative,"The woman knows they have already met before, and that that meeting would destroy any chance at happiness and love if the man remembers it, but she believes in second chances and she's determined to create a better memory this time.","The woman knows they have already met before, and that that meeting would destroy any chance at happiness and love if the man remembers it, painting a bleak future for their relationship.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
74,"I do n't blame the system , but the mirror .",negative,"I don't blame the system, but the mirror. Yet, this means I have the power to make changes and grow as an individual.","I don't blame the system, but the mirror, I'm such a disappointment to myself.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
75,Seal is so good the tent sides collapse inward with the duct vent on high medium speed .,positive,"Seal is so good the tent sides collapse inward with the duct vent on high medium speed, which is exactly the sort of efficiency I was hoping for.",Seal is so good the tent sides collapse inward with the duct vent on high medium speed. But it’s a pity that the noise could be quite distracting at times.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
